PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Moritz, T; Straube, N; Neumann, D				Moritz, Timo; Straube, Nicolas; Neumann, Dirk			The Garra species (Cyprinidae) of the Main Nile basin with description of three new species	CYBIUM			English	Article						Cypriniformes; Ostariophysi; Africa; Nile River; New species	FISHES; TELEOSTEI; ETHIOPIA	Five Garra species are recognized for the Main Nile basin. Garra vinciguerrae is confirmed as valid species. Three species are new to science, Garra napata sp. nov., G. jamila sp. nov. and G. sannarensis sp. nov. A fourth species, Garra sp. "White Nile", is known from only a single museum specimen in rather poor condition. Garra napata sp. nov., described from the area of the first and fourth Nile cataract, and G. jamila sp. nov. described from the Atbara River at Khashm el Girba are distinguished from all other African Garra species by a scaleless area reaching beyond the dorsal fin insertion, reducing the number of scale rows between the dorsal fin origin and the lateral line to 1-2.5 in G. napata and 2-2.5 in G jamila (vs. 3 or more in all currently known African Garra species). Both species differ from each other in colouration and oral-disc morphology: the vividly coloured G. jamila has a well-developed disc [type C] with prominent free posterior flap and crenate upper lip. Garra napata is characterised by its intermediate [type B] disc with very small and poorly developed or even absent posterior flap and smooth surface on the upper lip. Garra sannarensis sp. nov., described from the Blue Nile at Sennar, differs from all other African species by the combination of the following characters: intermediate developed disc (type B), the absence of predorsal scales, scaleless chest, belly and postpelvic area, and 4-4.5 scale rows between lateral line and dorsal-fin origin. Garra sp. 'White Nile' differs from the other Nilotic species by its long barbels almost reaching each other, when folded medially (vs. Barbels much shorter). Mitochondrial DNA sequences (COI) support that all newly described species and G. vinciguerrae represent distinct lineages within the Main Nile basin. Based on our findings, we provide a key for the Garra species of the Main Nile basin.	[Moritz, Timo] Deutsch Meeresmuseum, Katharinenberg 14-20, D-18439 Stralsund, Germany; [Moritz, Timo] Friedrich Schiller Univ Jena, Inst Systemat Zool & Evolutionary Biol, Erbertstr 1, D-07743 Jena, Germany; [Straube, Nicolas; Neumann, Dirk] Zool Staatssammlung Munchen, SNSB, Munchhausenstr 21, D-81247 Munich, Germany; [Straube, Nicolas] Univ Museum Bergen, Dept Nat Hist, Allegt 41, N-5007 Bergen, Norway	Moritz, T (reprint author), Deutsch Meeresmuseum, Katharinenberg 14-20, D-18439 Stralsund, Germany.; Moritz, T (reprint author), Friedrich Schiller Univ Jena, Inst Systemat Zool & Evolutionary Biol, Erbertstr 1, D-07743 Jena, Germany.	timo.moritz@meeresmuseum.de; nicolas.straube@uib.no; neumann@snsb.de			Gesellschaft fur Ichthyologie (Gfl)	We thank Ali Eltahir Sharafeldeen (Sudan Institute of Natural Sciences), Zuhair Nur Eldayem Mahmoud, Mahgoub Suliman Mohamedain, Mohammed Gedo and Ali Adam Saadelnour Abdalla for repeated help to facilitate travel, collecting and export permits and for continuous support and cooperation in field work and research. We would further like to thank our colleagues Joris Peters and Nadja Pollath (LMU Miinchen, Institut fur Paldoanatomie, Domestikationsforschung und Geschichte der Tiermedizin) for all smaller and larger contributions and for their financial support for the surveys in 2007 and 2018, the Gesellschaft fur Ichthyologie (Gfl) for funding the field trip in 2008, Nadja Pot lath, Jacqueline Fischer and our enthusiastic students and Sudanese colleagues, Musa Mohamed Wadelfaki, Mohamed Mubarak Hamid (both University of Khartoum) and Mohammed Abakar Abdallah (Fisheries Research Centre Kosti) for field assistance and various support in 2007, 2008 and/or 2018. Further, for logistic support, Hans-Peter Wotzka and Friedericke Jesse (Universitat zu Koln, Institut fur Ur-und Friihgeschichte, Forschungsstelle Afrika), which allowed repeated usage not only of their project cars, but also of their well-equipped store that provided all basics for our surveys in 2007, 2008 and 2018, Angelika Lohwasser and Tim Karberg (Universitat Munster, Institut far Agyptologie und Koptologie) for further logistic support and for sharing their rich store, too. Finally, big thanks to Samuel Iglesias for help with the French abstract, James Maclain for repeated loans, images and access to the specimens collected by Bailey and Loat, and to Emmanuel Vreven and Miguel Parrent for loan of material under their care.		26	0	0	4	4	SOC FRANCAISE D ICHTYOLOGIE	PARIS	MUSEUM NATL D HISTOIRE NATURELLE, 43 RUE CUVIER, 75231 PARIS, FRANCE	0399-0974			CYBIUM	Cybium	DEC 31	2019	43	4					311	329		10.26028/cybium/2019-434-002			19	Zoology	Zoology	KE7TB	WOS:000508752900002					2020-04-30	
J	Toshino, S; Tanimoto, M; Minemizu, R				Toshino, Sho; Tanimoto, Miyako; Minemizu, Ryo			Olindias deigo sp. nov., a new species (Hydrozoa, Trachylinae, Limnomedusae) from the Ryukyu Archipelago, southern Japan	ZOOKEYS			English	Article						Development; flower hat jellyfish; hydroid; medusa; Okinawa; polyp	CNIDARIA HYDROZOA; MEDUSAE	A new hydromedusa belonging to the order Limnomedusae is reported from the Ryukyu Archipelago, southern Japan. Olindias deigo sp. nov. can be distinguished from other Olindiidae species by the number and color of tentacles. Mature medusae of O. deigo sp. nov. were collected to observe the life history, including polyp (hydroid) and medusa formation. A comparative table of the primary diagnostic characters of the genus is provided.	[Toshino, Sho] Kuroshio Biol Res Fdn, 560 Nishidomari, Kochi 7880333, Japan; [Tanimoto, Miyako] Okinawa Churaumi Aquarium, 424 Ishikawa, Motobu, Okinawa 9050206, Japan; [Minemizu, Ryo] Ryo Minemizu Photo Off, 224-1 Yahata, Sunto, Shizuoka 4110906, Japan	Toshino, S (reprint author), Kuroshio Biol Res Fdn, 560 Nishidomari, Kochi 7880333, Japan.	toshino@kuroshio.or.jp			Showa Seitoku Memorial Foundation; Suzuki Shohei Marine Biological Research Grant from The University of the Ryukyus Foundation; JSPS KAKENHI GrantMinistry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of ScienceGrants-in-Aid for Scientific Research (KAKENHI) [JP18K14791]	We would like to express our sincere thanks to Shuhei Odoriba, Shinichi Arakawa (Okinawa Sakana Company), Mina Iwai (Oita Marine Palace Aquarium Umitamago), Aki Hashimoto, Junko Fukada, Takuma Mezaki, Keita Koeda, Tatsuki Koido, Takaya Kitamura, Kaori Yamashita, Yukimitsu Imahara, Rie Nakano (Kuroshio Biological Research Foundation), Takashi Asahida, Kenichi Hayashizaki, Hiroshi Miyake (Kitasato University) and the staffs of the Sesoko Tropical Biosphere Research Center. The manuscript was greatly improved by the constructive comments of two reviewers, Cheryl Lewis and Bastian Bentlage. This research was financially supported by Showa Seitoku Memorial Foundation, Suzuki Shohei Marine Biological Research Grant from The University of the Ryukyus Foundation and the JSPS KAKENHI Grant Numbers JP18K14791.		32	0	0	0	0	PENSOFT PUBLISHERS	SOFIA	12 PROF GEORGI ZLATARSKI ST, SOFIA, 1700, BULGARIA	1313-2989	1313-2970		ZOOKEYS	ZooKeys	DEC 31	2019		900					1	21		10.3897/zookeys.900.38850			21	Zoology	Zoology	KB3UI	WOS:000506424400001	31920422	DOAJ Gold, Green Published			2020-04-30	
J	Genier, F; Moretto, P				Genier, Francois; Moretto, Philippe			A new species of Onitis Fabricius, 1798 from south-eastern Africa (Coleoptera, Scarabaeidae, Scarabaeinae, Onitini)	ZOOKEYS			English	Article						Democratic Republic of the Congo; Dung beetle; Mozambique; new species; Onitis albertcollarti; Tanzania; Zambia		Onitis albertcollarti sp. nov. is described and illustrated. The new species is closely related to and occurs sympatrically with O. lycophron Klug, 1855.	[Genier, Francois] Canadian Museum Nat, Beaty Ctr Species Discovery, POB 3443, Ottawa, ON K1P 6P4, Canada; [Moretto, Philippe] 2 Rue Marcel Sambat, F-83200 Toulon, France	Genier, F (reprint author), Canadian Museum Nat, Beaty Ctr Species Discovery, POB 3443, Ottawa, ON K1P 6P4, Canada.	fgenier@nature.ca						5	0	0	0	0	PENSOFT PUBLISHERS	SOFIA	12 PROF GEORGI ZLATARSKI ST, SOFIA, 1700, BULGARIA	1313-2989	1313-2970		ZOOKEYS	ZooKeys	DEC 31	2019		900					23	29		10.3897/zookeys.900.39284			7	Zoology	Zoology	KB3UI	WOS:000506424400002	31920423	DOAJ Gold, Green Published			2020-04-30	
J	Kim, S; Bae, YS; Lee, S				Kim, Sora; Bae, Yang-Seop; Lee, Seunghwan			Four new species and seven new records of Promalactis Meyrick, 1908 (Lepidoptera, Oecophoridae) from Laos	ZOOKEYS			English	Article						First record of genus; fungivores and scavengers; PKK National Park; systematics	NORTHERN VIETNAM; GENUS; CHECKLIST; CAMBODIA	The genus Promalactis Meyrick, 1908 is recorded for the first time from Laos in mainland Southeast Asia and four new species are described: P. crassa sp. nov., P. retusa sp. nov., P. senispina sp. nov., and P. uniclavata sp. nov. Additionally, seven species are newly reported from the country: P. albisquama Kim & Park, P. apicisetifera Du & Wang, P. bitrigona Kim & Park, P. zolotuhini Lvovsky, P. parasuzukiella Wang, P. suzukiella (Matsumura), and P. spiraliola Kim. Distributional data and diagnoses and/or descriptions for all species in Laos are provided, along with illustrations of adults and genitalia.	[Kim, Sora; Lee, Seunghwan] Seoul Natl Univ, Res Inst Agr & Life Sci, Seoul 08826, South Korea; [Bae, Yang-Seop] Incheon Natl Univ, Bioresource & Environm Ctr, Div Life Sci, Incheon 22012, South Korea	Lee, S (reprint author), Seoul Natl Univ, Res Inst Agr & Life Sci, Seoul 08826, South Korea.; Bae, YS (reprint author), Incheon Natl Univ, Bioresource & Environm Ctr, Div Life Sci, Incheon 22012, South Korea.	baeys@incheon.ac.kr; seung@snu.ac.kr		Kim, Sora/0000-0003-4402-5421	National Institute of Biological Resources (NIBR) - Ministry of Environment (MOE) of the Republic of Korea [NIBR201906201]; Basic Science Research Program through the National Research Foundation of Korea (NRF) - the Ministry of Education [2017R1D1A1B03030640]; Research Institute for Agriculture and Life Sciences (RIALS), Republic of Korea	We are grateful to Park B.S., Na S.M., Kim J.W., Lee D.J., Ko J.H. and Lee T.K. of Incheon National University (INU), Republic of Korea for their help in collecting material in Laos. This work was supported by a grant from the National Institute of Biological Resources (NIBR) funded by the Ministry of Environment (MOE) of the Republic of Korea (NIBR201906201), and the Basic Science Research Program through the National Research Foundation of Korea (NRF) funded by the Ministry of Education (2017R1D1A1B03030640). This research was also supported by the Research Institute for Agriculture and Life Sciences (RIALS), Republic of Korea.		19	2	2	0	0	PENSOFT PUBLISHERS	SOFIA	12 PROF GEORGI ZLATARSKI ST, SOFIA, 1700, BULGARIA	1313-2989	1313-2970		ZOOKEYS	ZooKeys	DEC 31	2019		900					69	86		10.3897/zookeys.900.39569			18	Zoology	Zoology	KB3UI	WOS:000506424400004	31920424	DOAJ Gold, Green Published			2020-04-30	
J	Stonis, JR; Remeikis, A; Diskus, A; Orlovskyte, S; Vargas, SA; Solis, MA				Stonis, Jonas R.; Remeikis, Andrius; Diskus, Arunas; Orlovskyte, Svetlana; Vargas, Sergio A.; Solis, Maria Alma			A new leafmining pest of guava: Hesperolyra guajavifoliae sp. nov., with comments on the diagnostics of the endemic Neotropical genus Hesperolyra van Nieukerken (Lepidoptera, Nepticulidae)	ZOOKEYS			English	Article						New species; pygmy moths; guayaba; Psidium guajava; leaf mines; taxonomy; Colombia		We describe a new pest of guava (Psidium guajava L.), Hesperolyra guajavifoliae Stonis & Vargas, sp. nov., that was recently discovered in western Colombia. Hesperolyra van Nieukerken is a small, Neotropical genus of pygmy moths (Nepticulidae). We re-examine and document the complex morphology of the male genitalia of the generic type species, H. diskusi (Puplesis & Robinson). We discuss the diagnostics and composition of the genus and provide a simple pictorial differentiation scheme for all currently known representatives of the genus. The new species is illustrated with photographs of the adults, some of the immature stages, male and female genitalia, and leaf mines. A link to the COI barcodes of H. guajavifoliae sp. nov. is provided and the relationship of Hesperolyra to other genera is discussed.	[Stonis, Jonas R.; Remeikis, Andrius; Diskus, Arunas; Orlovskyte, Svetlana] Inst Ecol, Nat Res Ctr, Akad St 2, LT-08412 Vilnius, Lithuania; [Vargas, Sergio A.] Jardin Botan Bogota Jose Celestine Mutis, Av Calle 63 68-95, Bogota, Colombia; [Vargas, Sergio A.] Pontificia Univ Javeriana, Dept Biol, UNESIS, Lab Entomol, Carrera 7 43-82, Bogota, Colombia; [Solis, Maria Alma] ARS, Systemat Entomol Lab, USDA, Natl Museum Nat Hist,Smithsonian Inst, Washington, DC 20013 USA	Stonis, JR (reprint author), Inst Ecol, Nat Res Ctr, Akad St 2, LT-08412 Vilnius, Lithuania.	stonis.biotaxonomy@gmail.com		Vargas, Sergio/0000-0002-6716-905X	Research Council of Lithuania [S-MIP-19-30]	This research was partially funded by a grant (S-MIP-19-30, "DiagnoStics") from the Research Council of Lithuania. The study was carried out using the research infrastructure of the Nature Research Centre under the Lithuanian open access network initiative.		27	1	1	1	1	PENSOFT PUBLISHERS	SOFIA	12 PROF GEORGI ZLATARSKI ST, SOFIA, 1700, BULGARIA	1313-2989	1313-2970		ZOOKEYS	ZooKeys	DEC 31	2019		900					87	110		10.3897/zookeys.900.46332			24	Zoology	Zoology	KB3UI	WOS:000506424400005	31920425	DOAJ Gold, Green Published			2020-04-30	
J	Huang, SY; Wang, M; Fan, XL				Huang, Si-Yao; Wang, Min; Fan, Xiao-Ling			Notes on the genus Psychostrophia Butler, 1877 (Lepidoptera, Epicopeiidae), with description of a new species	ZOOKEYS			English	Article						cryptic species; East Asia; Geometroidea; oriental swallowtail moth; taxonomy		New information on the genus Psychostrophia Butler, 1877 is provided. A new species, Psychostrophia micronymphidiaria Huang & Wang, sp. nov., is described from western, northern and northwestern Yunnan Province, southwestern China; it is similar to P. nymphidiaria (Oberthur, 1893) which is widely distributed in eastern, southern, western and central China. A new synonym is established: Psychostrophia nymphidiaria (Oberthur, 1893) (= Stiboges lushanica Chou & Yuan, 2001, syn. nov.). Some other taxonomic and nomenclatural notes on the genus are presented. A key to the species of the genus Psychostrophia is provided.	[Huang, Si-Yao; Wang, Min; Fan, Xiao-Ling] South China Agr Univ, Coll Agr, Dept Entomol, Guangzhou 510642, Guangdong, Peoples R China	Fan, XL (reprint author), South China Agr Univ, Coll Agr, Dept Entomol, Guangzhou 510642, Guangdong, Peoples R China.	fanxiaol66@scau.edu.cn						23	0	0	0	0	PENSOFT PUBLISHERS	SOFIA	12 PROF GEORGI ZLATARSKI ST, SOFIA, 1700, BULGARIA	1313-2989	1313-2970		ZOOKEYS	ZooKeys	DEC 31	2019		900					111	127		10.3897/zookeys.900.46973			17	Zoology	Zoology	KB3UI	WOS:000506424400006	31920426	DOAJ Gold, Green Published			2020-04-30	
J	Seniczak, S; Seniczak, A; Kaczmarek, S; Marquardt, T				Seniczak, Stanislaw; Seniczak, Anna; Kaczmarek, Slawomir; Marquardt, Tomasz			Morphological ontogeny, ecology and some biological parameters of Achipteria nitens (Acari: Oribatida: Achipteriidae)	ZOOTAXA			English	Article						oribatid mites; juveniles; leg setation; ecology; stage structure	SP-NOV ACARI; NORTHERN PALEARCTIC REGION; MITES ACARINA; LIST; CHECKLIST; SPAIN	The morphological ontogeny of Achipteria nitens (Nicolet, 1855) from Crimea peninsula is redescribed and illustrated. and ecology and some biological parameters of this species are investigated. The larva of this species has short, thick and barbed setae in and of c-series, and anterior part of prodorsum reticulate, whereas the nymphs have most gastronotal setae of medium size and bathed, except for shorter c(3), and shorter, thick and smooth p(2) and p(3). A key to the larva and nymphs of eight species of Achipteria Berlese, 1885 is provided.	[Seniczak, Stanislaw; Kaczmarek, Slawomir; Marquardt, Tomasz] Kazimierz Wielki Univ, Fac Biol Sci, Dept Evolutionary Biol, Bydgoszcz, Poland; [Seniczak, Anna] Univ Bergen, Univ Museum Bergen, Bergen, Norway	Seniczak, S (reprint author), Kazimierz Wielki Univ, Fac Biol Sci, Dept Evolutionary Biol, Bydgoszcz, Poland.	stseni@ukw.edu.pl						50	1	1	0	0	MAGNOLIA PRESS	AUCKLAND	PO BOX 41383, AUCKLAND, ST LUKES 1030, NEW ZEALAND	1175-5326	1175-5334		ZOOTAXA	Zootaxa	DEC 31	2019	4717	1					30	46		10.11646/zootaxa.4717.1.5			17	Zoology	Zoology	KA8DV	WOS:000506031700003	32230652				2020-04-30	
J	Costa, SGD; Klompen, H; Bernardi, LFD; Goncalves, LC; Ribeiro, DB; Pepato, AR				Dos Santos Costa, Samuel Geremias; Klompen, Hans; De Oliveira Bernardi, Leopoldo Ferreira; Goncalves, Luciana Cardoso; Ribeiro, Dante Batista; Pepato, Almir Rogerio			Multi-instar descriptions of cave dwelling Erythraeidae (Trombidiformes: Parasitengona) employing an integrative approach	ZOOTAXA			English	Article						Troglophiles; Troglomorphism; Neotropical; Leptus; Lasioerythraeus; Charletonia life cycle; Brazil	LARVAL LEPTUS LATREILLE; MITES ACARI; PROSTIGMATA ERYTHRAEIDAE; GENUS LASIOERYTHRAEUS; LIFE-HISTORIES; ACTINOTRICHIDA; CLASSIFICATION; REDESCRIPTION; TAXONOMY; BIOLOGY	The life cycle of Parasitengona includes major morphological changes precluding an instar association based only on the morphology. This makes rearing and/or molecular data necessary to associate the heteromorphic instars. Most of the described species are known from either post larval instars or larva. Following a previous study on Palearctic Erythraeidae, in the present study the instar association was made through an integrative approach including rearing trials and molecular analysis of the cytochrome oxidase I (COI) gene with the Bayesian Generalized Mixed Yule Coalescent (bGMYC) algorithm for species delimitation. Two new cave dwelling Erythraeidae (Trombidiformes: Parasitengona) species am described Lasioerythraeus jessicae sp. nov. and Leptus sidorchukae sp. nov. including all active instars. Additionally, a complete description of the previously unknown adults of Charletonia rocciai Treat & Flechtmann, 1979 is provided with notes on the larva and deutonymph. We also demonstrate experimentally that Ch. rocciai larvae are not attached to the same individual host during the entire feeding stage. We discuss the presence of troglomorphisms in Le. sidorchukae sp. nov.; and the distribution of the species.	[Dos Santos Costa, Samuel Geremias; Goncalves, Luciana Cardoso; Ribeiro, Dante Batista; Pepato, Almir Rogerio] Univ Fed Minas Gerais, Inst Ciencias Biol, Dept Zool, Lab Sistemat & Evolucao Acaros Acariformes, Av Antonio Carlos 6627, BR-31270901 Belo Horizonte, MG, Brazil; [Dos Santos Costa, Samuel Geremias; Klompen, Hans] Ohio State Univ, Acarol Lab, Museum Biol Divers, 1315 Kinnear Rd, Columbus, OH 43212 USA; [De Oliveira Bernardi, Leopoldo Ferreira] Univ Fed Lavras, Dept Biol, Setor Ecol, Campus Univ, BR-37200000 Lavras, MG, Brazil; [Pepato, Almir Rogerio] Tyumen State Univ, 10 Semakova Str, Tyumen 625003, Russia	Pepato, AR (reprint author), Univ Fed Minas Gerais, Inst Ciencias Biol, Dept Zool, Lab Sistemat & Evolucao Acaros Acariformes, Av Antonio Carlos 6627, BR-31270901 Belo Horizonte, MG, Brazil.; Pepato, AR (reprint author), Tyumen State Univ, 10 Semakova Str, Tyumen 625003, Russia.	apepato@gmail.com			CAPES (Science Without Borders and Social Demand Program); Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior CAPES/BrazilCAPES; ADESITA [04/2016]	Authors thank A. H. B. Rosa, D. Burckhardt and D.L. Queiroz for collecting some of the specimens, R. Lima, P. Conceicao, P. Silveira and S. Bernardes for their support in the molecular and morphological work Dr. J. Makol, Dr. R. Haitlinger and Dr. A. Wohltmann for sharing their opinions about our Leptus specimens, and anonymous reviewers and editor for their contribution in improving the manuscript. SGSC is grateful to the Ohio State University which received him from July 2015 to May 2016 when the research was done. SGSC was also supported by CAPES (Science Without Borders and Social Demand Program). Sampling at Parque Estadual do Rola Moca was possible due the kind support from its administration and IEF (Instituto Estadual de Florestas) who granted the sampling permits. This study was supported by resourses from PRPQ-UFMG (Edital 01/2013-Programa Institucional de Auxilio a Pesquisa de Doutores Recem Contratados da UFMG), and ADESITA (contract number 04/2016-Agencia de Desenvolvimento Economico e Social de Itabirito). The authors also thank the Program for Technological Development in Tools for Health-PDTISFIOCRUZ for use of its facilities, especially to Renata de B. R. Oliveira and Elisangela M. Coser who assisted with sequencing and the company Carste Ciencia e Meio Ambiente for depositing the specimens at UFMG AC. LFOB acknowledges the Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior CAPES/Brazil for LFOB's postdoctoral scholarship.		82	1	1	3	3	MAGNOLIA PRESS	AUCKLAND	PO BOX 41383, AUCKLAND, ST LUKES 1030, NEW ZEALAND	1175-5326	1175-5334		ZOOTAXA	Zootaxa	DEC 31	2019	4717	1					137	184		10.11646/zootaxa.4717.1.10			48	Zoology	Zoology	KA8DV	WOS:000506031700008	32230657				2020-04-30	
J	Seeman, OD				Seeman, Owen D.			New species of Eutarsopolipus (Trombidiformes: Podapolipidae) from the pterostichine genera Castelnaudia and Trichosternus (Coleoptera: Carabidae) in Australia	ZOOTAXA			English	Article						taxonomy; new species; chaetotaxy; intraspecific variation; species diagnostics	SEXUALLY-TRANSMITTED-DISEASE; ACARI PODAPOLIPIDAE; SUBELYTRAL PARASITE; ACARIFORMES PODAPOLIPIDAE; BEETLES COLEOPTERA; CHRYSOMELOBIA; DORSIPES; COCCIPOLIPUS; REPRODUCTION; REGENFUSS	Three new species of Eutarsopolipus Berlese are described from the flightless pterostichine carabid genera Castelnaudia Tschitscherine and Trichosternus Chaudoir found in rainforests in eastern Queensland: Eutarsopolipus piraticus sp. nov. from Trichosternus frater Darlington and T. mutatus Darlington in north east Queensland; E. uncatus sp. nov. from C. obscuripennis (Mackay) in north-east Queensland; and E. verberatus sp. nov. from Castelnaudia eungella (Darlington) in middle-eastern Queensland and C. wilsoni (Castelnau) in south-east Queensland. These species are unique in Eutarsopolipus by having large hook-like unguinal setae on tarsi II-III. All species differ by only a few minor features, and the geographically isolated populations of E verberatus could not be distinguished reliably. Surprisingly, the presence/absence of leg I claws and seta v '' on femur I, which have been used to create species groups, is intraspecifically variable. Species delimitation and the tarsal setation of Podapolipidae, particularly Eutarsopolipus, are also discussed.	[Seeman, Owen D.] Queensland Museum, POB 3300, South Brisbane 4101, Australia	Seeman, OD (reprint author), Queensland Museum, POB 3300, South Brisbane 4101, Australia.				Australian Biological Resources Study [RG18-02]; Queensland Museum	This project was funded by the Australian Biological Resources Study (grant number RG18-02) and by the Queensland Museum. I also appreciate the assistance of Chris Burwell (Queensland Museum), who collected some of the host beetles; Susan Wright (Queensland Museum) for permission to search the QM insect collection for mites; Bob Husband (Adrian College, Michigan, USA) for generously sharing specimens of Chrysomelobia, Dorsipes and Eutarsopolipus; and Hamid Hajiqanbar (Tarbiat Modares University, Iran) and an anonymous reviewer of this manuscript who both provided careful and much appreciated reviews.		42	1	1	0	0	MAGNOLIA PRESS	AUCKLAND	PO BOX 41383, AUCKLAND, ST LUKES 1030, NEW ZEALAND	1175-5326	1175-5334		ZOOTAXA	Zootaxa	DEC 31	2019	4717	1					206	230		10.11646/zootaxa.0000.0.0			25	Zoology	Zoology	KA8DV	WOS:000506031700010	32230659				2020-04-30	
J	Zheng, CG; Ye, Z; Zhu, XX; Zhang, HG; Dong, X; Chen, PP; Bu, WJ				Zheng, Chenguang; Ye, Zhen; Zhu, Xiuxiu; Zhang, Haiguang; Dong, Xue; Chen, Pingping; Bu, Wenjun			Integrative taxonomy uncovers hidden species diversity in the rheophilic genus Potamometra (Hemiptera: Gerridae)	ZOOLOGICA SCRIPTA			English	Article						gene rearrangement; integrative taxonomy; mitochondrial genome; phylogenetics; Potamometra; species delimitation	MITOCHONDRIAL GENOMES; DELIMITATION; DNA; MODEL; PHYLOGENOMICS; IMPROVEMENTS; EVOLUTION; SOFTWARE; INSIGHTS; TAXA	The genus Potamometra Bianchi, 1896 represents big rheophilic semi-aquatic bugs that typically inhabit middle-altitude mountainous streams. Here, we integrated molecular and morphological data for delimiting species boundaries and understanding the evolutionary history of the genus Potamometra. Twenty-seven complete mitochondrial genomes of Potamometra were sequenced, with samples representing most of the known geographically distributed locations around the Sichuan Basin. The results of different species delimitation methods (ABGD, bPTP, GMYC and BPP) based on the monolocus or multilocus data strongly supported the existence of two cryptic new species (Potamometra anderseni Zheng, Ye & Bu, sp. nov. and Potamometra zhengi Zheng, Ye & Bu, sp. nov.) although more entities were found in the tree-based delimitation methods. The two new species were successfully validated using morphological characters within a detailed taxonomic framework. Phylogenetic analyses supported the reciprocal monophyly of the seven highly node-supported clades, which were matched with the five known species and two new taxa. A novel gene arrangement pattern that two trnF (trnF1 and trnF2) genes separated by an intergenic spacer (IGS) were found in all the species except the sister group of Potamometra berezowskii Bianchi, 1896 and Potamometra linnavuorii Chen, Nieser & Bu, 2016. This gene rearrangement event could be explained by the tandem duplication and random loss (TDRL) model. Our study emphasized that the combination of molecular sequence data, morphological characters and mitochondrial structural information could improve the accuracy of species delimitation.	[Zheng, Chenguang; Ye, Zhen; Zhu, Xiuxiu; Dong, Xue; Bu, Wenjun] Nankai Univ, Inst Entomol, Coll Life Sci, 94 Weijin Rd, Tianjin 300071, Peoples R China; [Zhang, Haiguang] Linyi Univ, Coll Life Sci, Linyi, Shandong, Peoples R China; [Chen, Pingping] Netherlands Biodivers Ctr Naturalis, Leiden, Netherlands	Ye, Z; Bu, WJ (reprint author), Nankai Univ, Inst Entomol, Coll Life Sci, 94 Weijin Rd, Tianjin 300071, Peoples R China.	yezhen1987331@nankai.edu.cn; wenjunbu@nankai.edu.cn			National Natural Science Foundation of ChinaNational Natural Science Foundation of China [31430079, 31820103013, 31972872]	National Natural Science Foundation of China, Grant/Award Number: 31430079, 31820103013 and 31972872		74	0	0	5	5	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0300-3256	1463-6409		ZOOL SCR	Zool. Scr.	MAR	2020	49	2					174	186		10.1111/zsc.12401		DEC 2019	13	Evolutionary Biology; Zoology	Evolutionary Biology; Zoology	KK3HP	WOS:000504832100001					2020-04-30	
